Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size,Area
Online Video Characteristics and Transcoding Time Dataset,Multivariate,Regression,"Integer, Real",168286,11.0,2015.0,Extra Large,Computer
Chronic_Kidney_Disease,Multivariate,Classification,Real,400,25.0,2015.0,Medium,
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series",Classification,Real,314080,0.0,2015.0,Extra Large,Business
Folio,Multivariate,Clustering,,637,20.0,2015.0,Medium,
"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory",Clustering,Real,1710671,9.0,2015.0,Extra Large,Computer
Cuff-Less Blood Pressure Estimation,Multivariate,Regression,Real,12000,3.0,2015.0,Extra Large,Life
Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series",Classification,Real,10929,561.0,2015.0,Extra Large,Life
Mice Protein Expression,Multivariate,Clustering,Real,1080,82.0,2015.0,Large,Life
UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series",Clustering,"Integer, Real",40000,13.0,2015.0,Extra Large,Computer
Heterogeneity Activity Recognition,"Multivariate, Time-Series",Clustering,Real,43930257,16.0,2015.0,Extra Large,Computer
Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series",Clustering,Integer,230318,13.0,2015.0,Extra Large,Computer
HEPMASS,Multivariate,Classification,Real,10500000,28.0,2016.0,Extra Large,Physical
Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series",Classification,Real,13197,4.0,2016.0,Extra Large,Computer
default of credit card clients,Multivariate,Classification,"Integer, Real",30000,24.0,2016.0,Extra Large,Business
Mesotheliomaâs disease data set,Multivariate,Classification,Real,324,34.0,2016.0,Medium,
Online Retail,"Multivariate, Sequential, Time-Series",Clustering,"Integer, Real",541909,8.0,2015.0,Extra Large,Business
SIFT10M,Multivariate,Causal Discovery,Integer,11164866,128.0,2016.0,Extra Large,Computer
GPS Trajectories,Multivariate,Regression,Real,163,15.0,2016.0,Medium,Computer
Detect Malacious Executable(AntiVirus),Multivariate,Classification,Real,373,513.0,2016.0,Medium,Computer
Occupancy Detection,"Multivariate, Time-Series",Classification,Real,20560,7.0,2016.0,Extra Large,
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinsonâs Disease,Multivariate,Clustering,Real,40,7.0,2016.0,Small,
News Aggregator,Multivariate,Clustering,,422937,5.0,2016.0,Extra Large,
Air Quality,"Multivariate, Time-Series",Regression,Real,9358,15.0,2016.0,Large,Computer
Twin gas sensor arrays,"Multivariate, Time-Series, Domain-Theory",Regression,Real,640,480000.0,2016.0,Medium,Computer
Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,919438,11.0,2016.0,Extra Large,Computer
Facebook Comment Volume Dataset,Multivariate,Regression,"Integer, Real",40949,54.0,2016.0,Extra Large,
Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),Time-Series,Classification,Real,5744,561.0,2016.0,Large,Computer
Polish companies bankruptcy data,Multivariate,Classification,Real,10503,64.0,2016.0,Extra Large,Business
Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series",Classification,Real,42240,6.0,2016.0,Extra Large,Computer
Dota2 Games Results,Multivariate,Classification,,102944,116.0,2016.0,Extra Large,Game
Facebook metrics,Multivariate,Regression,Integer,500,19.0,2016.0,Medium,Business
UbiqLog (smartphone lifelogging),Multivariate,Causal Discovery,,9782222,,2016.0,Extra Large,Computer
NIPS Conference Papers 1987-2015,Text,Clustering,Integer,11463,5812.0,2016.0,Extra Large,Computer
HTRU2,Multivariate,Clustering,Real,17898,9.0,2017.0,Extra Large,Physical
Drug consumption (quantified),Multivariate,Classification,Real,1885,32.0,2016.0,Large,Social
Appliances energy prediction,"Multivariate, Time-Series",Regression,Real,19735,29.0,2017.0,Extra Large,Computer
Miskolc IIS Hybrid IPS,Text,Clustering,Integer,1540,67.0,2016.0,Large,Computer
KDC-4007 dataset Collection,"Multivariate, Text",Regression,Integer,4007,,2017.0,Large,Computer
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,"Multivariate, Sequential, Time-Series",Clustering,"Integer, Real",153540,25.0,2017.0,Extra Large,Computer
DrivFace,Multivariate,Clustering,Real,606,6400.0,2016.0,Medium,Computer
Website Phishing,Multivariate,Classification,Integer,1353,10.0,2016.0,Large,Computer
YouTube Spam Collection,Text,Classification,,1956,5.0,2017.0,Large,Computer
Beijing PM2.5 Data,"Multivariate, Time-Series",Regression,"Integer, Real",43824,13.0,2017.0,Extra Large,Physical
Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential",Regression,Integer,3942,98.0,2016.0,Large,Business
Cervical cancer (Risk Factors),Multivariate,Classification,"Integer, Real",858,36.0,2017.0,Medium,Life
Quality Assessment of Digital Colposcopies,Multivariate,Classification,Real,287,69.0,2017.0,Medium,Life
KASANDR,Multivariate,Causal Discovery,Integer,17764280,2158859.0,2017.0,Extra Large,Life
FMA: A Dataset For Music Analysis,"Multivariate, Time-Series",Clustering,Real,106574,518.0,2017.0,Extra Large,Computer
Air quality,"Multivariate, Time-Series",Regression,Real,9358,15.0,2016.0,Large,Computer
Epileptic Seizure Recognition,"Multivariate, Time-Series",Clustering,"Integer, Real",11500,179.0,2017.0,Extra Large,Life
Devanagari Handwritten Character Dataset,,Classification,Integer,92000,,2016.0,Extra Large,Computer
Stock portfolio performance,Multivariate,Regression,Real,315,12.0,2016.0,Medium,Business
MoCap Hand Postures,Multivariate,Clustering,"Integer, Real",78095,38.0,2016.0,Extra Large,Computer
Early biomarkers of Parkinsons disease based on natural connected speech,Multivariate,Regression,"Integer, Real",130,65.0,2017.0,Medium,
Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series",Classification,"Integer, Real",74,102.0,2017.0,Small,Computer
PM2.5 Data of Five Chinese Cities,"Multivariate, Time-Series",Regression,"Integer, Real",52854,86.0,2017.0,Extra Large,Physical
Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate,Clustering,Integer,77,7.0,2017.0,Small,Computer
Sales_Transactions_Dataset_Weekly,"Multivariate, Time-Series",Clustering,"Integer, Real",811,53.0,2017.0,Medium,
Las Vegas Strip,,Regression,Integer,504,20.0,2017.0,Medium,Business
Eco-hotel,Text,Other/Unknown,,401,1.0,2017.0,Medium,Business
MEU-Mobile KSD,Multivariate,Classification,"Integer, Real",2856,71.0,2016.0,Large,Computer
Crowdsourced Mapping,Multivariate,Classification,,10546,29.0,2016.0,Extra Large,Physical
gene expression cancer RNA-Seq,Multivariate,Clustering,Real,801,20531.0,2016.0,Medium,Life
"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer","Multivariate, Sequential, Time-Series",Classification,Real,1540,65.0,2016.0,Large,Computer
chestnut â LARVIC,,Clustering,,1451,3.0,2017.0,Large,
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text,Classification,Integer,1075,22.0,2017.0,Large,Computer
Motion Capture Hand Postures,Multivariate,Clustering,Real,78095,38.0,2017.0,Extra Large,Computer
Anuran Calls (MFCCs),Multivariate,Clustering,Real,7195,22.0,2017.0,Large,Life
TTC-3600: Benchmark dataset for Turkish text categorization,Text,Clustering,Integer,3600,4814.0,2017.0,Large,Computer
Gastrointestinal Lesions in Regular Colonoscopy,Multivariate,Classification,Real,76,698.0,2016.0,Small,Computer
Daily Demand Forecasting Orders,Time-Series,Regression,Integer,60,13.0,2017.0,Small,Business
Paper Reviews,Text,Regression,Integer,405,10.0,2017.0,Medium,Computer
extention of Z-Alizadeh sani dataset,,Classification,"Integer, Real",303,59.0,2017.0,Medium,Life
Z-Alizadeh Sani,,Classification,"Integer, Real",303,56.0,2017.0,Medium,Life
Dynamic Features of VirusShare Executables,"Multivariate, Time-Series",Regression,Integer,107888,482.0,2017.0,Extra Large,Computer
IDA2016Challenge,Multivariate,Classification,Integer,76000,171.0,2017.0,Extra Large,Computer
DSRC Vehicle Communications,"Sequential, Text",Clustering,Real,10000,5.0,2017.0,Large,Computer
Mturk User-Perceived Clusters over Images,"Multivariate, Text",Clustering,Integer,180,500.0,2016.0,Medium,Computer
Character Font Images,Multivariate,Classification,"Integer, Real",745000,411.0,2016.0,Extra Large,Computer
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text,Classification,Integer,12234,8519.0,2016.0,Extra Large,Computer
Autistic Spectrum Disorder Screening Data for Children,Multivariate,Classification,Integer,292,21.0,2017.0,Medium,
Autistic Spectrum Disorder Screening Data for Adolescent,Multivariate,Classification,Integer,104,21.0,2017.0,Medium,
APS Failure at Scania Trucks,Multivariate,Classification,"Integer, Real",60000,171.0,2017.0,Extra Large,Computer
Wireless Indoor Localization,Multivariate,Classification,Real,2000,7.0,2017.0,Large,Computer
HCC Survival,Multivariate,Classification,"Integer, Real",165,49.0,2017.0,Medium,Life
CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,Multivariate,Regression,Integer,217,12.0,2017.0,Medium,Computer
University of Tehran Question Dataset 2016 (UTQD.2016),Text,Classification,,1175,3.0,2017.0,Large,
Autism Screening Adult,,Classification,Integer,704,21.0,2017.0,Medium,Social
Activity recognition with healthy older people using a batteryless wearable sensor,Sequential,Classification,Real,75128,9.0,2016.0,Extra Large,Life
Immunotherapy Dataset,Univariate,Classification,"Integer, Real",90,8.0,2018.0,Small,Life
Cryotherapy Dataset,Univariate,Classification,"Integer, Real",90,7.0,2018.0,Small,
OCT data & Color Fundus Images of Left & Right Eyes,Multivariate,Classification,Real,50,2.0,2016.0,Small,
Discrete Tone Image Dataset,Multivariate,Classification,,71,11.0,2018.0,Small,Computer
News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text",Regression,"Integer, Real",93239,11.0,2018.0,Extra Large,Computer
Ultrasonic flowmeter diagnostics,Multivariate,Classification,Real,540,173.0,2018.0,Medium,Computer
ICMLA 2014 Accepted Papers Data Set,Multivariate,Clustering,,105,5.0,2018.0,Medium,
BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series",Clustering,Integer,6611,15.0,2018.0,Large,Computer
Container Crane Controller Data Set,"Univariate, Domain-Theory",Regression,Real,15,3.0,2018.0,Small,Computer
Residential Building Data Set,Multivariate,Regression,Real,372,105.0,2018.0,Medium,Computer
Health News in Twitter,Text,Clustering,Real,58000,25000.0,2018.0,Extra Large,Computer
chipseq,Sequential,Classification,Integer,4960,,2018.0,Large,Life
SGEMM GPU kernel performance,Multivariate,Regression,Integer,241600,18.0,2018.0,Extra Large,Computer
Repeat Consumption Matrices,Multivariate,Clustering,Real,130000,21000.0,2018.0,Extra Large,Computer
detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential",Clustering,Real,7062606,115.0,2018.0,Extra Large,Computer
Absenteeism at work,"Multivariate, Time-Series",Clustering,"Integer, Real",740,21.0,2018.0,Medium,Business
SCADI,Multivariate,Clustering,,70,206.0,2018.0,Small,Life
Condition monitoring of hydraulic systems,"Multivariate, Time-Series",Regression,Real,2205,43680.0,2018.0,Large,Computer
Carbon Nanotubes,Univariate,Regression,Real,10721,8.0,2018.0,Extra Large,Computer
Optical Interconnection Network,Multivariate,Regression,"Integer, Real",640,10.0,2018.0,Medium,
Sports articles for objectivity analysis,"Multivariate, Text",Classification,Integer,1000,59.0,2018.0,Medium,Social
Breast Cancer Coimbra,Multivariate,Classification,Integer,116,10.0,2018.0,Medium,Life
GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series",Regression,Real,1672,5.0,2018.0,Large,Computer
Dishonest Internet users Dataset,Multivariate,Clustering,,322,5.0,2018.0,Medium,Computer
Victorian Era Authorship Attribution,Text,Classification,,93600,1000.0,2018.0,Extra Large,Computer
Simulated Falls and Daily Living Activities Data Set,Time-Series,Classification,Integer,3060,138.0,2018.0,Large,Life
Multimodal Damage Identification for Humanitarian Computing,"Multivariate, Text",Classification,Integer,5879,,2018.0,Large,Social
EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series",Regression,Integer,9200,16.0,2018.0,Large,Life
Roman Urdu Data Set,Text,Classification,,20000,2.0,2018.0,Extra Large,Computer
Avila,Multivariate,Classification,Real,20867,10.0,2018.0,Extra Large,Computer
Drug Review Dataset (Druglib.com),"Multivariate, Text",Clustering,Integer,4143,8.0,2018.0,Large,
Drug Review Dataset (Drugs.com),"Multivariate, Text",Clustering,Integer,215063,6.0,2018.0,Extra Large,Life
Physical Unclonable Functions,Multivariate,Classification,Integer,6000000,129.0,2018.0,Extra Large,Computer
Superconductivty Data,Multivariate,Regression,Real,21263,81.0,2018.0,Extra Large,Physical
WESAD (Wearable Stress and Affect Detection),"Multivariate, Time-Series",Regression,Real,63000000,12.0,2018.0,Extra Large,Computer
GNFUV Unmanned Surface Vehicles Sensor Data Set 2,"Multivariate, Sequential, Time-Series",Regression,Real,10190,6.0,2018.0,Extra Large,Computer
Student Academics Performance,Multivariate,Classification,,300,22.0,2018.0,Medium,Computer
Online Shoppers Purchasing Intention Dataset,Multivariate,Clustering,"Integer, Real",12330,18.0,2018.0,Extra Large,Business
PMU-UD,Univariate,Classification,,5180,9.0,2018.0,Large,Computer
Parkinson's Disease Classification,Multivariate,Classification,"Integer, Real",756,754.0,2018.0,Medium,Computer
Electrical Grid Stability Simulated Data,Multivariate,Regression,Real,10000,14.0,2018.0,Large,
Caesarian Section Classification Dataset,Univariate,Classification,Integer,80,5.0,2018.0,Small,Life
BAUM-1,Time-Series,Classification,,1184,,2018.0,Large,Computer
BAUM-2,Time-Series,Classification,,1047,,2018.0,Large,Computer
Audit Data,Multivariate,Classification,Real,777,18.0,2018.0,Medium,
BuddyMove Data Set,"Multivariate, Text",Clustering,Real,249,7.0,2018.0,Medium,
Real estate valuation data set,Multivariate,Regression,"Integer, Real",414,7.0,2018.0,Medium,Business
Somerville Happiness Survey,,Classification,Integer,143,7.0,2018.0,Medium,Life
2.4 GHZ Indoor Channel Measurements,Multivariate,Classification,Real,7840,5.0,2018.0,Large,Computer
EMG data for gestures,Time-Series,Classification,Real,30000,6.0,2019.0,Extra Large,Life
Parking Birmingham,"Multivariate, Univariate, Sequential, Time-Series",Clustering,Real,35717,4.0,2019.0,Extra Large,Computer
Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series",Regression,"Integer, Real",135,18.0,2018.0,Medium,Computer
Travel Reviews,"Multivariate, Text",Clustering,Real,980,11.0,2018.0,Medium,
Tarvel Review Ratings,"Multivariate, Text",Clustering,Real,5456,25.0,2018.0,Large,
Rice Leaf Diseases,Multivariate,Classification,Integer,120,,2019.0,Medium,Computer
Gas sensor array temperature modulation,"Multivariate, Time-Series",Regression,Real,4095000,20.0,2019.0,Extra Large,Computer
Facebook Live Sellers in Thailand,Multivariate,Clustering,Integer,7051,12.0,2019.0,Large,Business
Parkinson Dataset with replicated acoustic features,Multivariate,Classification,,240,46.0,2019.0,Medium,
Metro Interstate Traffic Volume,"Multivariate, Sequential, Time-Series",Regression,"Integer, Real",48204,9.0,2019.0,Extra Large,
Query Analytics Workloads Dataset,Multivariate,Clustering,Real,260000,8.0,2019.0,Extra Large,Computer
Wave Energy Converters,Multivariate,Regression,Real,288000,49.0,2019.0,Extra Large,Computer
PPG-DaLiA,"Multivariate, Time-Series",Regression,Real,8300000,11.0,2019.0,Extra Large,Computer
Alcohol QCM Sensor Dataset,Multivariate,Clustering,Real,125,8.0,2019.0,Medium,Computer
Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170,54.0,2019.0,Medium,Life
Incident management process enriched event log,"Multivariate, Sequential",Clustering,Integer,141712,36.0,2019.0,Extra Large,Business
Opinion Corpus for Lebanese Arabic Reviews (OCLAR),Text,Classification,Integer,3916,3916.0,2019.0,Large,Computer
MEx,Time-Series,Clustering,Real,6262,710.0,2019.0,Large,Computer
Beijing Multi-Site Air-Quality Data,"Multivariate, Time-Series",Regression,"Integer, Real",420768,18.0,2019.0,Extra Large,Physical
Online Retail II,"Multivariate, Sequential, Time-Series, Text",Clustering,"Integer, Real",1067371,8.0,2019.0,Extra Large,Business
Hepatitis C Virus (HCV) for Egyptian patients,Multivariate,Classification,"Integer, Real",1385,29.0,2019.0,Large,Life
QSAR fish toxicity,Multivariate,Regression,Real,908,7.0,2019.0,Medium,Physical
QSAR aquatic toxicity,Multivariate,Regression,Real,546,9.0,2019.0,Medium,Physical
Human Activity Recognition from Continuous Ambient Sensor Data,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",13956534,37.0,2019.0,Extra Large,
WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,"Multivariate, Time-Series",Classification,Real,15630426,6.0,2019.0,Extra Large,
QSAR oral toxicity,Multivariate,Classification,,8992,1024.0,2019.0,Large,Physical
QSAR androgen receptor,Multivariate,Classification,,1687,1024.0,2019.0,Large,Physical
QSAR Bioconcentration classes dataset,Multivariate,Regression,,779,14.0,2019.0,Medium,Life
QSAR fish bioconcentration factor (BCF),Multivariate,Regression,"Integer, Real",1056,7.0,2019.0,Large,Life
A study of Asian Religious and Biblical Texts,"Multivariate, Text",Clustering,Integer,590,8265.0,2019.0,Medium,
Real-time Election Results: Portugal 2019,"Multivariate, Time-Series, Text",Regression,"Integer, Real",21643,29.0,2019.0,Extra Large,Social
Bias correction of numerical prediction model temperature forecast,Multivariate,Regression,Real,7750,25.0,2020.0,Large,Physical
Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series",Regression,Real,14057567,3.0,2020.0,Extra Large,Life
Kitsune Network Attack Dataset,"Multivariate, Sequential, Time-Series",Clustering,Real,27170754,115.0,2019.0,Extra Large,Computer
Shoulder Implant X-Ray Manufacturer Classification,Multivariate,Classification,Real,597,1.0,2020.0,Medium,Life
Speaker Accent Recognition,Multivariate,Classification,Real,329,12.0,2020.0,Medium,Social
Heart failure clinical records,Multivariate,Clustering,"Integer, Real",299,13.0,2020.0,Medium,Life
Deepfakes: Medical Image Tamper Detection,Multivariate,Classification,Real,20000,200000.0,2020.0,Extra Large,Computer
selfBACK,Time-Series,Clustering,Real,26136,6.0,2020.0,Extra Large,Computer
South German Credit,Multivariate,Clustering,"Integer, Real",1000,21.0,2019.0,Medium,Business
Exasens,Multivariate,Clustering,Integer,399,4.0,2020.0,Medium,Life
Swarm Behaviour,Multivariate,Classification,Real,24017,2400.0,2020.0,Extra Large,Computer
Crop mapping using fused optical-radar data set,"Multivariate, Time-Series",Classification,Real,325834,175.0,2020.0,Extra Large,
BitcoinHeistRansomwareAddressDataset,"Multivariate, Time-Series",Clustering,"Integer, Real",2916697,10.0,2020.0,Extra Large,Computer
Facebook Large Page-Page Network,Multivariate,Classification,,22470,4714.0,2020.0,Extra Large,Social
Amphibians,Multivariate,Classification,"Integer, Real",189,23.0,2020.0,Medium,Life
Early stage diabetes risk prediction dataset.,Multivariate,Classification,,520,17.0,2020.0,Medium,Computer
Turkish Spam V01,Text,Classification,,826,2.0,2019.0,Medium,Social
Stock keeping units,Multivariate,Clustering,"Integer, Real",2279,9.0,2019.0,Large,Business
Demand Forecasting for a store,Multivariate,Regression,Integer,28764,8.0,2019.0,Extra Large,
Detect Malware Types,"Multivariate, Time-Series, Text",Classification,,7107,280.0,2019.0,Large,Computer
Wave Energy Converters,Multivariate,Regression,Real,288000,49.0,2019.0,Extra Large,Computer
Youtube cookery channels viewers comments in Hinglish,"Multivariate, Text",Classification,,9800,3.0,2019.0,Large,Computer
Pedestrian in Traffic Dataset,"Multivariate, Sequential, Time-Series",Regression,Real,4760,14.0,2019.0,Large,Computer
Cervical Cancer Behavior Risk,"Multivariate, Univariate",Clustering,Integer,72,19.0,2019.0,Small,Life
Sattriya_Dance_Single_Hand_Gestures Dataset,Multivariate,Classification,,1450,,2019.0,Large,Computer
Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170,54.0,2019.0,Medium,Life
3W dataset,"Multivariate, Time-Series",Clustering,"Integer, Real",1984,8.0,2019.0,Large,Computer
Malware static and dynamic features VxHeaven and Virus Total,Multivariate,Classification,"Integer, Real",2955,1087.0,2019.0,Large,Computer
Internet Firewall Data,Multivariate,Classification,,65532,12.0,2019.0,Extra Large,Computer
User Profiling and Abusive Language Detection Dataset,,Classification,,65919,3.0,2019.0,Extra Large,Computer
Estimation of obesity levels based on eating habits and physical condition,Multivariate,Clustering,Integer,2111,17.0,2019.0,Large,
Rice (Cammeo and Osmancik),Multivariate,Classification,Real,3810,8.0,2019.0,Large,Computer
Vehicle routing and scheduling problems,Multivariate,Clustering,"Integer, Real",18,9.0,2019.0,Small,Business
Algerian Forest Fires Dataset,Multivariate,Regression,Real,244,12.0,2019.0,Medium,
Breath Metabolomics,"Multivariate, Time-Series",Clustering,Real,104,1656.0,2019.0,Medium,Life
Horton General Hospital,"Multivariate, Time-Series",Causal Discovery,Integer,139,6.0,2019.0,Medium,Life
"UrbanGB, urban road accidents coordinates labelled by the urban center",Univariate,Clustering,Real,360177,2.0,2019.0,Extra Large,Computer
Gas Turbine CO and NOx Emission Data Set,Multivariate,Clustering,Real,36733,11.0,2019.0,Extra Large,Computer
Activity recognition using wearable physiological measurements,Multivariate,Classification,Real,4480,533.0,2019.0,Large,Life
clickstream data for online shopping,"Multivariate, Sequential",Clustering,"Integer, Real",165474,14.0,2019.0,Extra Large,Business
CNNpred: CNN-based stock market prediction using a diverse set of variables,"Sequential, Time-Series",Regression,Real,1985,84.0,2019.0,Large,Computer
Apartment for rent classified,Multivariate,Clustering,,10000,22.0,2019.0,Large,Business
: Simulated Data set of Iraqi tourism places,Multivariate,Clustering,,232,16.0,2020.0,Medium,Computer
Nasarian CAD Dataset,Multivariate,Classification,,150,52.0,2020.0,Medium,Life
Monolithic Columns in Troad and Mysia Region,Multivariate,Classification,Real,11,19.0,2020.0,Small,Computer
Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series",Regression,Real,14057567,3.0,2020.0,Extra Large,Life
Seoul Bike Sharing Demand,Multivariate,Regression,"Integer, Real",8760,14.0,2020.0,Large,Computer
Person Classification Gait Data,Multivariate,Classification,Real,48,321.0,2020.0,Small,Computer
Shill Bidding Dataset,Multivariate,Clustering,,6321,13.0,2020.0,Large,Computer
Iranian Churn Dataset,Multivariate,Regression,Integer,3150,13.0,2020.0,Large,Business
Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate,Classification,Real,17256,55.0,2020.0,Extra Large,Computer
Bone marrow transplant: children,Multivariate,Regression,"Integer, Real",187,39.0,2020.0,Medium,Life
Exasens,Multivariate,Clustering,Integer,399,4.0,2020.0,Medium,Life
COVID-19 Surveillance,Multivariate,Classification,,14,7.0,2020.0,Small,Computer
Refractive errors,Multivariate,Classification,Integer,467,79.0,2020.0,Medium,Life
Shoulder Implant X-Ray Manufacturer Classification,Multivariate,Classification,Real,597,1.0,2020.0,Medium,Life
CLINC150,Text,Classification,,23700,,2020.0,Extra Large,
HCV data,Multivariate,Clustering,"Integer, Real",615,14.0,2020.0,Medium,Life
Taiwanese Bankruptcy Prediction,Multivariate,Classification,Integer,6819,96.0,2020.0,Large,Business
South German Credit (UPDATE),Multivariate,Clustering,"Integer, Real",1000,21.0,2020.0,Medium,Business
Guitar Chords finger positions,Text,Classification,,2633,5.0,2020.0,Large,
Russian Corpus of Biographical Texts,Text,Classification,,200,2.0,2020.0,Medium,
Codon usage,Multivariate,Clustering,,13028,69.0,2020.0,Extra Large,Life
Intelligent Media Accelerometer and Gyroscope (IM-AccGyro) Dataset,Time-Series,Classification,Real,800,9.0,2020.0,Medium,Physical
Myocardial infarction complications,Multivariate,Classification,Real,1700,124.0,2020.0,Large,Life
Hungarian Chickenpox Cases,Time-Series,Regression,Real,521,20.0,2021.0,Medium,Life
Simulated data for survival modelling,"Multivariate, Time-Series",Regression,"Integer, Real",120000,25.0,2018.0,Extra Large,Life
Student Performance on an entrance examination,Multivariate,Classification,,666,11.0,2018.0,Medium,Computer
Chemical Composition of Ceramic Samples,Multivariate,Clustering,Real,88,19.0,2019.0,Small,Physical
Labeled Text Forum Threads Dataset,Text,Classification,Integer,200,9.0,2019.0,Medium,Computer
Stock keeping units,Multivariate,Clustering,"Integer, Real",2279,9.0,2019.0,Large,Business
BLE RSSI dataset for Indoor localization,"Sequential, Time-Series",Classification,Integer,23570,5.0,2019.0,Extra Large,Computer
Basketball dataset,Time-Series,Classification,Integer,10000,7.0,2019.0,Large,Game
GitHub MUSAE,Multivariate,Classification,,37700,4006.0,2019.0,Extra Large,Social
Anticancer peptides,Sequential,Classification,,1850,2.0,2019.0,Large,Life
Monolithic Columns in Troad and Mysia Region,Multivariate,Classification,Real,11,19.0,2020.0,Small,Computer
Gender by Name,Text,Clustering,,147270,4.0,2020.0,Extra Large,Social
Iranian Churn Dataset,Multivariate,Regression,Integer,3150,13.0,2020.0,Large,Business
Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate,Classification,Real,17256,55.0,2020.0,Extra Large,Computer
Shoulder Implant Manufacture Classification,Multivariate,Classification,,597,1.0,2020.0,Medium,Life
LastFM Asia Social Network,Multivariate,Classification,,7624,7842.0,2020.0,Large,Social
Wheat kernels,Multivariate,Classification,Real,314,15.0,2020.0,Medium,Computer
Productivity Prediction of Garment Employees,"Multivariate, Time-Series",Regression,"Integer, Real",1197,15.0,2020.0,Large,Business
Multi-view Brain Networks,Multivariate,Clustering,Integer,70,70.0,2020.0,Small,Life
LastFM Asia Social Network,Multivariate,Classification,,7624,7842.0,2020.0,Large,Social
Wisesight Sentiment Corpus,"Multivariate, Text",Classification,,26737,4.0,2020.0,Extra Large,Social
AI4I 2020 Predictive Maintenance Dataset,"Multivariate, Time-Series",Regression,Real,10000,14.0,2020.0,Large,Computer
Dry Bean Dataset,Multivariate,Classification,"Integer, Real",13611,17.0,2020.0,Extra Large,Computer
in-vehicle coupon recommendation,Multivariate,Classification,,12684,23.0,2020.0,Extra Large,Business
Gait Classification,Multivariate,Classification,Real,48,321.0,2020.0,Small,Computer
Wikipedia Math Essentials,Time-Series,Regression,Real,731,1068.0,2021.0,Medium,Social
Wikipedia Math Essentials,Time-Series,Regression,Real,731,1068.0,2021.0,Medium,Social
Synchronous Machine Data Set,Multivariate,Regression,Real,557,5.0,2021.0,Medium,Computer
Average Localization Error (ALE) in sensor node localization process in WSNs,Multivariate,Regression,Real,107,6.0,2021.0,Medium,Computer
9mers from cullpdb,Sequential,Regression,Real,158716,4.0,2021.0,Extra Large,Life
TamilSentiMix,,Classification,,15744,,2021.0,Extra Large,Computer
Accelerometer,Multivariate,Regression,"Integer, Real",153000,5.0,2021.0,Extra Large,Computer
Synchronous Machine Data Set,Multivariate,Regression,Real,557,5.0,2021.0,Medium,Computer
Pedal Me Bicycle Deliveries,Time-Series,Regression,Real,36,15.0,2021.0,Small,Social
Turkish Headlines Dataset,Text,Clustering,,4200,7.0,2021.0,Large,Computer
Secondary Mushroom Dataset,Univariate,Classification,Real,61069,21.0,2021.0,Extra Large,Life
Power consumption of Tetouan city,"Multivariate, Time-Series",Regression,"Integer, Real",52417,9.0,2021.0,Extra Large,
Raisin Dataset,Multivariate,Classification,"Integer, Real",900,8.0,2021.0,Medium,Life
Steel Industry Energy Consumption Dataset,Multivariate,Regression,,35040,11.0,2021.0,Extra Large,Computer
Gender Gap in Spanish WP,Multivariate,Classification,"Integer, Real",4746,21.0,2021.0,Large,Social
Non verbal tourists data,Multivariate,Clustering,"Integer, Real",73,22.0,2021.0,Small,Business
Roman Urdu Sentiment Analysis Dataset (RUSAD),Text,Classification,,11000,2.0,2021.0,Extra Large,Computer
