,Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size
1,Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177,8,1995,Large
2,Adult,Multivariate,Classification,"Categorical, Integer",48842,14,1996,Extra Large
3,Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38,,Medium
4,Anonymous Microsoft Web Data,,Recommender Systems,Categorical,37711,294,1998,Extra Large
5,Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,1998,Medium
6,Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7,1992,Large
7,Audiology (Original),Multivariate,Classification,Categorical,226,,1987,Medium
8,Audiology (Standardized),Multivariate,Classification,Categorical,226,69,1992,Medium
9,Auto MPG,Multivariate,Regression,"Categorical, Real",398,8,1993,Medium
10,Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,26,1987,Medium
11,Badges,"Univariate, Text",Classification,,294,1,1994,Medium
12,Balance Scale,Multivariate,Classification,Categorical,625,4,1994,Medium
13,Balloons,Multivariate,Classification,Categorical,16,4,,Small
14,Breast Cancer,Multivariate,Classification,Categorical,286,9,1988,Medium
15,Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,10,1992,Medium
16,Breast Cancer Wisconsin (Prognostic),Multivariate,Regression,Real,198,34,1995,Medium
17,Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,32,1995,Medium
18,Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108,13,1990,Medium
19,Car Evaluation,Multivariate,Classification,Categorical,1728,6,1997,Large
20,Census Income,Multivariate,Classification,"Categorical, Integer",48842,14,1996,Extra Large
22,Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,36,1989,Large
23,Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6,1994,Extra Large
25,Bach Chorales,"Univariate, Time-Series",Other/Unknown,"Categorical, Integer",100,6,,Small
26,Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42,1995,Extra Large
27,Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,,Medium
28,Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125,,1992,Medium
29,Computer Hardware,Multivariate,Regression,Integer,209,9,1987,Medium
30,Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9,1997,Large
31,Covertype,Multivariate,Classification,"Categorical, Integer",581012,54,1998,Extra Large
32,Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39,1995,Medium
33,Dermatology,Multivariate,Classification,"Categorical, Integer",366,33,1998,Medium
38,Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12,1989,Medium
39,Ecoli,Multivariate,Classification,Real,336,8,1996,Medium
40,Flags,Multivariate,Classification,"Categorical, Integer",194,30,1990,Medium
41,Function Finding,,Other/Unknown,Real,352,,1990,Medium
42,Glass Identification,Multivariate,Classification,Real,214,10,1987,Medium
43,Haberman's Survival,Multivariate,Classification,Integer,306,3,1999,Medium
44,Hayes-Roth,Multivariate,Classification,Categorical,160,5,1989,Medium
45,Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,75,1988,Medium
46,Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,1988,Medium
47,Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,1989,Medium
49,Image Segmentation,Multivariate,Classification,Real,2310,19,1990,Large
50,Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279,1558,1998,Large
51,Ionosphere,Multivariate,Classification,"Integer, Real",351,34,1989,Medium
52,Iris,Multivariate,Classification,Real,150,4,1988,Medium
53,ISOLET,Multivariate,Classification,Real,7797,617,1994,Large
54,Kinship,Relational,Other/Unknown,Categorical,104,12,1990,Medium
55,Labor Relations,Multivariate,Other/Unknown,"Categorical, Integer, Real",57,16,1988,Small
57,Lenses,Multivariate,Classification,Categorical,24,4,1990,Small
58,Letter Recognition,Multivariate,Classification,Integer,20000,16,1991,Extra Large
59,Liver Disorders,Multivariate,Other/Unknown,"Categorical, Integer, Real",345,7,1990,Medium
61,Lung Cancer,Multivariate,Classification,Integer,32,56,1992,Small
62,Lymphography,Multivariate,Classification,Categorical,148,18,1988,Medium
63,Mechanical Analysis,Multivariate,Classification,"Categorical, Integer, Real",209,8,1990,Medium
64,Meta-data,Multivariate,Classification,"Categorical, Integer, Real",528,22,1996,Medium
66,Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106,58,1990,Medium
67,Molecular Biology (Protein Secondary Structure),Sequential,Classification,Categorical,128,,,Medium
68,Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,3190,61,1992,Large
69,MONK's Problems,Multivariate,Classification,Categorical,432,7,1992,Medium
70,Moral Reasoner,Domain-Theory,Other/Unknown,,202,,1994,Medium
71,Multiple Features,Multivariate,Classification,"Integer, Real",2000,649,,Large
72,Mushroom,Multivariate,Classification,Categorical,8124,22,1987,Large
73,Musk (Version 1),Multivariate,Classification,Integer,476,168,1994,Medium
74,Musk (Version 2),Multivariate,Classification,Integer,6598,168,1994,Large
75,Nursery,Multivariate,Classification,Categorical,12960,8,1997,Extra Large
77,Page Blocks Classification,Multivariate,Classification,"Integer, Real",5473,10,1995,Large
78,Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,5620,64,1998,Large
79,Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,10992,16,1998,Extra Large
80,Post-Operative Patient,Multivariate,Classification,"Categorical, Integer",90,8,1993,Small
81,Primary Tumor,Multivariate,Classification,Categorical,339,17,1988,Medium
85,Servo,Multivariate,Regression,"Categorical, Integer",167,4,1993,Medium
86,Shuttle Landing Control,Multivariate,Classification,Categorical,15,6,1988,Small
87,Solar Flare,Multivariate,Regression,Categorical,1389,10,1989,Large
88,Soybean (Large),Multivariate,Classification,Categorical,307,35,1988,Medium
89,Soybean (Small),Multivariate,Classification,Categorical,47,35,1987,Small
90,Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23,4,1993,Small
91,Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531,102,1988,Medium
92,Spambase,Multivariate,Classification,"Integer, Real",4601,57,1999,Large
93,SPECT Heart,Multivariate,Classification,Categorical,267,22,2001,Medium
94,SPECTF Heart,Multivariate,Classification,Integer,267,44,2001,Medium
95,Sponge,Multivariate,Clustering,"Categorical, Integer",76,45,,Small
97,Student Loan Relational,Domain-Theory,Other/Unknown,,1000,,1993,Medium
98,Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151,5,1997,Medium
99,Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9,1991,Medium
100,Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200,21,1987,Large
101,Trains,Multivariate,Classification,Categorical,10,32,1994,Small
102,University,Multivariate,Classification,"Categorical, Integer",285,17,1988,Medium
103,Congressional Voting Records,Multivariate,Classification,Categorical,435,16,1987,Medium
104,Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,38,1993,Medium
105,Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21,1988,Large
106,Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000,40,1988,Large
107,Wine,Multivariate,Classification,"Integer, Real",178,13,1991,Medium
108,Yeast,Multivariate,Classification,Real,1484,8,1996,Large
109,Zoo,Multivariate,Classification,"Categorical, Integer",101,17,1990,Medium
111,Twenty Newsgroups,Text,Other/Unknown,,20000,,1999,Extra Large
112,Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15,1999,Large
113,Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22,2002,Large
114,US Census Data (1990),Multivariate,Clustering,Categorical,2458285,68,,Extra Large
115,Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,40,2000,Extra Large
116,Coil 1999 Competition Data,Multivariate,Other/Unknown,"Categorical, Real",340,17,1999,Medium
117,Corel Image Features,Multivariate,Other/Unknown,Real,68040,89,1999,Extra Large
119,EEG Database,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer, Real",122,4,1999,Medium
120,El Nino,Spatio-temporal,Other/Unknown,"Integer, Real",178080,12,1999,Extra Large
121,Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender Systems,Categorical,50672,,2000,Extra Large
122,CMU Face Images,Image,Classification,Integer,640,,1999,Medium
123,Insurance Company Benchmark (COIL 2000),Multivariate,Regression,"Categorical, Integer",9000,86,2000,Large
124,Internet Usage Data,Multivariate,Other/Unknown,"Categorical, Integer",10104,72,1999,Extra Large
125,IPUMS Census Database,Multivariate,Other/Unknown,"Categorical, Integer",256932,61,1999,Extra Large
126,Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12,,Medium
127,KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779,481,1998,Extra Large
128,KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,42,1999,Extra Large
130,Movie,"Multivariate, Relational",Other/Unknown,,10000,,1999,Large
131,MSNBC.com Anonymous Web Data,Sequential,Other/Unknown,Categorical,989818,,,Extra Large
132,NSF Research Award Abstracts 1990-2003,Text,Other/Unknown,,129000,,2003,Extra Large
134,Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series",Other/Unknown,,100000,,1999,Extra Large
135,Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5,1997,Extra Large
136,Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90,1999,Medium
137,Synthetic Control Chart Time Series,Time-Series,Clustering,Real,600,,1999,Medium
138,Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5,1998,Medium
